@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1-weka.filters.unsupervised.attribute.Remove-R19-43-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Remove-R15

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute score numeric
@attribute nearestDot numeric
@attribute nextScore numeric

@data
8,17,1,1,25,3,5,1,24,15,1000,31,1000,17,443,16,442
9,17,1,1,24,3,5,1,24,16,1000,29,1000,17,442,15,441
9,16,1,1,24,3,5,1,25,16,1000,28,1000,17,441,14,440
9,15,1,1,23,3,5,1,25,17,1000,26,1000,18,440,13,439
9,14,1,1,23,3,5,1,25,17,1000,25,1000,20,439,12,438
9,13,1,1,23,3,5,1,25,18,1000,24,1000,22,438,11,437
9,12,1,1,23,3,5,1,26,18,1000,23,1000,24,437,10,436
9,11,1,1,23,4,5,1,27,18,1000,21,1000,26,436,9,435
9,10,1,1,23,5,5,1,28,18,1000,19,1000,26,435,8,434
9,9,1,1,24,5,5,1,28,17,1000,19,1000,27,434,7,433
9,8,1,1,24,4,5,1,28,17,1000,19,1000,28,433,6,432
9,7,1,1,25,4,5,1,28,17,1000,19,1000,29,432,5,431
10,7,1,1,25,4,5,1,28,17,1000,18,1000,27,431,4,430
11,7,1,1,26,4,5,1,27,17,1000,18,1000,26,430,3,429
12,7,1,1,25,4,5,1,27,17,1000,16,1000,25,429,2,428
13,7,1,1,25,3,5,1,27,17,1000,16,1000,25,428,1,527
14,7,1,1,26,3,5,1,27,18,1000,16,1000,24,527,12,526
15,7,1,1,26,4,5,1,27,18,1000,14,1000,22,526,13,525
16,7,1,1,27,4,5,1,26,18,1000,14,1000,20,525,14,524
17,7,1,1,27,4,5,1,25,18,1000,13,1000,19,524,13,523
18,7,1,1,27,5,5,1,25,18,1000,11,1000,17,523,12,522
19,7,1,1,27,4,5,1,25,17,1000,11,1000,15,522,11,521
20,7,1,1,27,3,5,1,24,17,1000,11,1000,13,521,10,520
21,7,1,1,26,3,5,1,24,16,1000,9,1000,13,520,9,519
22,7,1,1,27,3,5,1,24,17,1000,9,1000,12,519,8,518
23,7,1,1,28,3,5,1,24,17,1000,9,1000,10,518,9,517
23,6,1,1,28,3,5,1,23,17,1000,8,1000,11,517,10,516
23,5,1,1,27,3,5,1,23,17,1000,6,1000,11,516,11,515
24,5,1,1,27,3,5,1,23,16,1000,5,1000,11,515,12,514
25,5,1,1,26,3,5,1,23,15,1000,3,1000,11,514,13,513
26,5,1,1,25,3,5,1,24,15,1000,3,1000,11,513,14,512
27,5,1,1,25,3,5,1,25,15,1000,4,1000,13,512,15,511
27,4,1,1,26,3,5,1,25,16,1000,2,1000,13,511,16,510
26,4,1,1,25,3,5,1,26,16,1000,2,1000,13,510,15,709
25,4,1,1,3,1,5,1,26,17,1000,1000,1000,14,709,14,708
24,4,1,1,3,1,5,1,26,17,1000,1000,1000,14,708,13,707
24,3,1,1,3,1,5,1,26,16,1000,1000,1000,15,707,14,706
24,3,1,1,3,1,5,1,26,16,1000,1000,1000,14,706,14,705
24,3,1,1,3,1,5,1,25,16,1000,1000,1000,13,705,14,704
24,4,1,1,3,1,5,1,24,16,1000,1000,1000,12,704,13,703
24,5,1,1,3,1,5,1,24,16,1000,1000,1000,12,703,12,702
24,6,1,1,3,1,5,1,24,17,1000,1000,1000,12,702,11,701
24,7,1,1,3,1,5,1,25,17,1000,1000,1000,12,701,10,700
24,8,1,1,3,1,5,1,26,17,1000,1000,1000,11,700,9,699
24,9,1,1,3,1,5,1,26,17,1000,1000,1000,11,699,8,698
24,10,1,1,3,1,5,1,27,17,1000,1000,1000,9,698,7,697
24,11,1,1,3,1,5,1,27,16,1000,1000,1000,7,697,6,696
24,12,1,1,3,1,5,1,27,15,1000,1000,1000,7,696,5,695
24,13,1,1,3,1,5,1,27,16,1000,1000,1000,6,695,4,694
25,13,1,1,3,1,5,1,27,16,1000,1000,1000,4,694,5,693
26,13,1,1,3,1,5,1,26,16,1000,1000,1000,2,693,6,692
27,13,1,1,3,1,5,1,26,15,1000,1000,1000,4,692,7,691
27,14,1,1,3,1,5,1,25,15,1000,1000,1000,2,691,6,690
18,5,10,4,17,7,22,6,27,3,9,3,5,12,-5,9999,-6
19,5,10,3,17,8,22,5,28,3,11,5,3,11,-6,9999,-7
20,5,11,3,17,7,21,5,28,3,11,5,1,10,-7,9999,192
21,5,11,3,16,7,5,1,28,3,12,7,1000,8,192,9999,191
22,5,11,3,17,7,5,1,27,3,13,7,1000,6,191,9999,190
23,5,10,3,17,8,5,1,26,3,15,9,1000,4,190,9999,189
24,5,9,3,17,9,5,1,26,4,17,11,1000,4,189,9999,188
24,4,9,3,18,9,5,1,26,3,16,11,1000,2,188,9999,187
24,3,10,3,18,10,5,1,26,4,14,13,1000,2,187,9999,386
25,3,9,3,18,11,5,1,25,4,16,15,1000,1000,386,9999,385
26,3,10,3,17,11,5,1,7,1,16,17,1000,1000,385,9999,384
26,4,9,3,16,11,5,1,7,1,18,17,1000,1000,384,9999,383
26,5,9,3,15,11,5,1,7,1,19,17,1000,1000,383,9999,382
25,5,10,3,15,12,5,1,7,1,17,17,1000,1000,382,9999,381
24,5,11,3,15,13,5,1,7,1,15,17,1000,1000,381,9999,380
23,5,12,3,16,13,5,1,7,1,13,15,1000,1000,380,9999,379
22,5,12,4,17,13,5,1,7,1,11,13,1000,1000,379,9999,378
21,5,12,4,17,13,5,1,7,1,10,12,1000,1000,378,9999,377
20,5,12,5,17,13,5,1,7,1,8,11,1000,1000,377,9999,376
19,5,11,5,17,14,5,1,7,1,8,11,1000,1000,376,9999,375
18,5,11,5,17,13,5,1,7,1,7,9,1000,1000,375,9999,374
17,5,11,6,17,12,5,1,7,1,7,7,1000,1000,374,9999,373
16,5,10,6,18,12,5,1,7,1,7,9,1000,1000,373,9999,372
15,5,11,6,17,12,5,1,7,1,5,9,1000,1000,372,9999,371
14,5,11,5,16,12,5,1,7,1,3,9,1000,1000,371,9999,370
13,5,11,6,15,12,5,1,7,1,3,9,1000,1000,370,9999,369
12,5,11,6,15,13,5,1,7,1,2,11,1000,1000,369,9999,368
11,5,10,6,14,13,5,1,7,1,2,11,1000,1000,368,9999,367
11,6,10,6,14,12,5,1,7,1,1,9,1000,1000,367,9999,366
11,7,10,5,14,12,5,1,7,1,3,8,1000,1000,366,9999,365
11,8,9,5,15,12,5,1,7,1,5,8,1000,1000,365,9999,364
10,8,9,4,15,13,5,1,7,1,5,10,1000,1000,364,9999,363
10,7,9,4,15,12,5,1,7,1,4,10,1000,1000,363,9999,362
10,6,8,4,15,11,5,1,7,1,4,10,1000,1000,362,9999,361
10,5,7,4,14,11,5,1,7,1,4,10,1000,1000,361,9999,360
10,4,6,4,14,10,5,1,7,1,4,10,1000,1000,360,9999,359
9,4,6,3,13,10,5,1,7,1,4,10,1000,1000,359,9999,358
8,4,6,4,14,10,5,1,7,1,2,12,1000,1000,358,9999,357
7,4,6,5,14,9,5,1,7,1,2,12,1000,1000,357,9999,356
6,4,7,5,15,9,5,1,7,1,2,14,1000,1000,356,9999,355
5,4,6,5,14,9,5,1,7,1,2,14,1000,1000,355,9999,354
4,4,5,5,14,8,5,1,7,1,2,14,1000,1000,354,9999,353
5,4,6,5,15,8,5,1,7,1,2,14,1000,1000,353,9999,552
6,4,1,1,15,8,5,1,7,1,1000,13,1000,1000,552,9999,551
6,5,1,1,14,8,5,1,7,1,1000,11,1000,1000,551,9999,550
6,6,1,1,14,7,5,1,7,1,1000,9,1000,1000,550,9999,549
6,7,1,1,14,8,5,1,7,1,1000,9,1000,1000,549,9999,548
7,7,1,1,14,7,5,1,7,1,1000,7,1000,1000,548,9999,547
8,7,1,1,13,7,5,1,7,1,1000,5,1000,1000,547,9999,546
9,7,1,1,13,8,5,1,7,1,1000,5,1000,1000,546,9999,545
10,7,1,1,13,8,5,1,7,1,1000,4,1000,1000,545,9999,544
11,7,1,1,13,7,5,1,7,1,1000,2,1000,1000,544,9999,543
12,7,1,1,13,6,5,1,7,1,1000,2,1000,1000,543,9999,542
13,7,1,1,14,6,5,1,7,1,1000,2,1000,1000,542,9999,541
13,8,1,1,13,6,5,1,7,1,1000,2,1000,1000,541,9999,540
13,9,1,1,13,6,5,1,7,1,1000,3,1000,1000,540,9999,539
13,8,1,1,14,6,5,1,7,1,1000,3,1000,1000,539,9999,538
13,7,1,1,15,6,5,1,7,1,1000,3,1000,1000,538,9999,537
13,6,1,1,16,6,5,1,7,1,1000,3,1000,1000,537,9999,536
13,5,1,1,16,5,5,1,7,1,1000,3,1000,1000,536,9999,535
14,5,1,1,16,4,5,1,7,1,1000,3,1000,1000,535,9999,534
16,11,2,5,2,16,27,3,28,18,20,19,19,18,-3,9999,-4
17,11,2,6,2,17,27,4,28,17,20,21,17,17,-4,9999,-5
18,11,1,6,2,16,27,4,28,17,22,21,16,17,-5,9999,-6
19,11,1,7,2,17,27,3,28,18,22,23,16,15,-6,9999,-7
20,11,2,7,2,18,27,3,27,18,22,25,15,15,-7,9999,-8
20,10,3,7,2,17,28,3,28,18,20,25,15,15,-8,9999,-9
20,9,3,8,2,16,27,3,28,17,18,25,13,17,-9,9999,-10
20,8,2,8,3,16,27,4,28,18,18,25,11,17,-10,9999,-11
20,7,2,9,3,16,27,5,27,18,20,26,9,19,-11,9999,-12
20,6,1,9,3,17,26,5,28,18,22,28,7,20,-12,9999,-13
21,6,1,9,3,17,26,4,28,18,23,29,7,18,-13,9999,-14
22,6,2,9,3,18,26,3,27,18,23,31,7,17,-14,9999,-15
23,6,1,9,2,18,25,3,27,18,25,33,5,17,-15,9999,-16
